Citation	Study	Sample	Measure	Reliability	N	Estimate	Splithalf	Parts	Parts_provided	Delay	Aggregate	Aggregate_num	Estimate_notes	Estimate_searchable	Source
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330."	2	1	IAT	IC	98	0.66		2					T1. Sample size from # of participants who contributed data to TRR	Yes	Search
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330."	2	1	IAT	IC	98	0.61		2					T2. Sample size from # of participants who contributed data to TRR	Yes	Search
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330."	2	1	IAT	TRR	98	0.25				1 month				Yes	Search
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330."	3	1	IAT	IC	98	0.73		2					T1. Sample size from # of participants who contributed data to TRR	Yes	Search
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330."	3	1	IAT	IC	98	0.82		2					T2. Sample size from # of participants who contributed data to TRR	Yes	Search
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330."	3	1	IAT	TRR	98	0.63				same session (10 minutes)				Yes	Search
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330."	4	1	IAT	IC	90	0.8		2					T1. Sample size from # of participants who contributed data to TRR	Yes	Search
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330."	4	1	IAT	IC	90	0.72		2					T2. Sample size from # of participants who contributed data to TRR	Yes	Search
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330."	4	1	IAT	TRR	90	0.56				1 month				Yes	Search
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330."	5	1	IAT	IC	88	0.73		2					T1. Sample size from # of participants who contributed data to TRR	Yes	Search
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330."	5	1	IAT	IC	88	0.79		2					T2. Sample size from # of participants who contributed data to TRR	Yes	Search
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330."	5	1	IAT	TRR	88	0.56				1 year				Yes	Search
"Dentale, F., Vecchione, M., Gebauer, J. E., & Barbaranelli, C. (2018). Measuring automatic value orientations: The Achievement–Benevolence Implicit Association Test. British Journal of Social Psychology, 57, 210–229."	1	1	IAT	IC	113	0.72		2					Achievement-Benevolence	Yes	Search
"Dentale, F., Vecchione, M., Gebauer, J. E., & Barbaranelli, C. (2018). Measuring automatic value orientations: The Achievement–Benevolence Implicit Association Test. British Journal of Social Psychology, 57, 210–229."	1	1	IAT	IC	113	0.73		2					Power-Univeralism	Yes	Search
"Dentale, F., Vecchione, M., Gebauer, J. E., & Barbaranelli, C. (2018). Measuring automatic value orientations: The Achievement–Benevolence Implicit Association Test. British Journal of Social Psychology, 57, 210–229."	1	1	IAT	IC	113	0.8		2					Security-Self-direction	Yes	Search
"Dentale, F., Vecchione, M., Gebauer, J. E., & Barbaranelli, C. (2018). Measuring automatic value orientations: The Achievement–Benevolence Implicit Association Test. British Journal of Social Psychology, 57, 210–229."	1	1	IAT	IC	113	0.72		2					Tradition-Stimulation	Yes	Search
"Dentale, F., Vecchione, M., Gebauer, J. E., & Barbaranelli, C. (2018). Measuring automatic value orientations: The Achievement–Benevolence Implicit Association Test. British Journal of Social Psychology, 57, 210–229."	2	1	IAT	IC	99	0.85		2						Yes	Search
"Keech, J. J., Hagger, M. S., O’Callaghan, F. V., & Hamilton, K. (2018). The infuence of university students’ stress mindsets on health and performance outcomes. Annals of Behavioral Medicine, 52, 1046–1059."	1	1	SC-IAT	IC	218	0.68		2						Yes	Search
"Suter, M., Pihet, S., Zimmermann, G., de Ridder, J., Urben, S., & Stephan, P. (2017). Predicting daily-life antisocial behaviour in institutionalized adolescents with Transgression-related Implicit Association Tests. Journal of Forensic Psychiatry and Psychology, 28, 881–900."	1	1	IAT	IC	83	0.8		2					IA	Yes	Search
"Suter, M., Pihet, S., Zimmermann, G., de Ridder, J., Urben, S., & Stephan, P. (2017). Predicting daily-life antisocial behaviour in institutionalized adolescents with Transgression-related Implicit Association Tests. Journal of Forensic Psychiatry and Psychology, 28, 881–900."	1	1	IAT	IC	87	0.65		2					ISC	Yes	Search
"Fleischhauer, M. (2017). The moving-IAT evaluating the potential of a single-block variant of the implicit association test in personality assessment. European Journal of Psychological Assessment, 33, 445–452."	1	1	IAT	IC	61	0.74		18					NFC	Yes	Search
"Fleischhauer, M. (2017). The moving-IAT evaluating the potential of a single-block variant of the implicit association test in personality assessment. European Journal of Psychological Assessment, 33, 445–452."	1	1	IAT	IC	61	0.74		18					TSA	Yes	Search
"Antons, D., Declerck, M., Diener, K., Koch, I., & Piller, F. T. (2017). Assessing the not-invented-here syndrome: Development and validation of implicit and explicit measurements. Journal of Organizational Behavior, 38, 1227–1245."	1	1	IAT	IC	88	0.77		2						Yes	Search
"Antons, D., Declerck, M., Diener, K., Koch, I., & Piller, F. T. (2017). Assessing the not-invented-here syndrome: Development and validation of implicit and explicit measurements. Journal of Organizational Behavior, 38, 1227–1245."	3	1	IAT	IC	124	0.84		2						Yes	Search
"Mills, J. P., & Boardley, I. D. (2017). Development and initial validation of an indirect measure of transformational leadership integrity. Psychology of Sport and Exercise, 32, 34–46."	1	1	IAT	IC	64	0.88		2	No					Yes	Search
"Mills, J. P., & Boardley, I. D. (2017). Development and initial validation of an indirect measure of transformational leadership integrity. Psychology of Sport and Exercise, 32, 34–46."	2	1	IAT	IC	48	0.83		2	No					Yes	Search
"Mills, J. P., & Boardley, I. D. (2017). Development and initial validation of an indirect measure of transformational leadership integrity. Psychology of Sport and Exercise, 32, 34–46."	3	1	IAT	IC	32	0.79		2	No					Yes	Search
"Delker, B. C., & Freyd, J. J. (2017). Betrayed? That’s me: implicit and explicit betrayed self-concept in young adults abused as children. Journal of Aggression, Maltreatment and Trauma, 26, 701–716."	1	1	IAT	IC	529	0.57	0.4	2						Yes	Search
"Tibboel, H., De Houwer, J., Dirix, N., & Spruyt, A. (2017). Beyond associations: Do implicit beliefs play a role in smoking addiction? Journal of Psychopharmacology, 31, 43–53."	1	1	IAT	TRR	47	0.31				unclear (not same session)			approach/avoid	Yes	Search
"Tibboel, H., De Houwer, J., Dirix, N., & Spruyt, A. (2017). Beyond associations: Do implicit beliefs play a role in smoking addiction? Journal of Psychopharmacology, 31, 43–53."	1	1	IAT	TRR	47	0.59				unclear (not same session)			liking	Yes	Search
"Tibboel, H., De Houwer, J., Dirix, N., & Spruyt, A. (2017). Beyond associations: Do implicit beliefs play a role in smoking addiction? Journal of Psychopharmacology, 31, 43–53."	2	1	IAT	TRR	46	0.19				unclear (not same session)				Yes	Search
"Wang-Jones, T. T. S., Hattrup, K., Alhassoon, O. M., Ferdman, B. M., & Lowman, R. L. (2017). Development of gender identity implicit association tests to assess attitudes toward transmen and transwomen. Psychology of Sexual Orientation and Gender Diversity, 4, 169–183."	1	1	IAT	IC	344	0.95		2	No				Transmen	Yes	Search
"Wang-Jones, T. T. S., Hattrup, K., Alhassoon, O. M., Ferdman, B. M., & Lowman, R. L. (2017). Development of gender identity implicit association tests to assess attitudes toward transmen and transwomen. Psychology of Sexual Orientation and Gender Diversity, 4, 169–183."	1	1	IAT	IC	344	0.95		2	No				Transwomen	Yes	Search
"Wang-Jones, T. T. S., Hattrup, K., Alhassoon, O. M., Ferdman, B. M., & Lowman, R. L. (2017). Development of gender identity implicit association tests to assess attitudes toward transmen and transwomen. Psychology of Sexual Orientation and Gender Diversity, 4, 169–183."	1	1	IAT	TRR	344	0.45				1 week			Transmen	Yes	Search
"Wang-Jones, T. T. S., Hattrup, K., Alhassoon, O. M., Ferdman, B. M., & Lowman, R. L. (2017). Development of gender identity implicit association tests to assess attitudes toward transmen and transwomen. Psychology of Sexual Orientation and Gender Diversity, 4, 169–183."	1	1	IAT	TRR	344	0.48				1 week			Transwomen	Yes	Search
"Lindgren, K. P., Ramirez, J. J., Namaky, N., Olin, C. C., & Teachman, B. A. (2016). Evaluating the relationship between explicit and implicit drinking identity centrality and hazardous drinking. Addictive Behaviors Reports, 4, 87–96."	1a	1	BIAT	IC	180	0.67		2					long. excluded short.	Yes	Search
"Glashouwer, K. A., Smulders, F. T. Y., De Jong, P. J., Roefs, A., & Wiers, R. W. H. J. (2013). Measuring automatic associations: Validation of algorithms for the Implicit Association Test (IAT) in a laboratory setting. Journal of Behavior Therapy and Experimental Psychiatry, 44, 105–113."	1	1	IAT	IC	2829	0.92		2					"T1, anxiety, D600 in Table 4. Data have also been reported in Glashouwer & de Jong 2009"	Yes	Search
"Glashouwer, K. A., Smulders, F. T. Y., De Jong, P. J., Roefs, A., & Wiers, R. W. H. J. (2013). Measuring automatic associations: Validation of algorithms for the Implicit Association Test (IAT) in a laboratory setting. Journal of Behavior Therapy and Experimental Psychiatry, 44, 105–113."	1	1	IAT	IC	2829	0.91		2					"T2, anxiety, D600 in Table 4. Data have also been reported in Glashouwer & de Jong 2009"	Yes	Search
"Glashouwer, K. A., Smulders, F. T. Y., De Jong, P. J., Roefs, A., & Wiers, R. W. H. J. (2013). Measuring automatic associations: Validation of algorithms for the Implicit Association Test (IAT) in a laboratory setting. Journal of Behavior Therapy and Experimental Psychiatry, 44, 105–113."	1	1	IAT	IC	2826	0.87		2					"T1 depression, D600 in Table 5. Data have also been reported in Glashouwer & de Jong 2009"	Yes	Search
"Glashouwer, K. A., Smulders, F. T. Y., De Jong, P. J., Roefs, A., & Wiers, R. W. H. J. (2013). Measuring automatic associations: Validation of algorithms for the Implicit Association Test (IAT) in a laboratory setting. Journal of Behavior Therapy and Experimental Psychiatry, 44, 105–113."	1	1	IAT	IC	2826	0.85		2					"T2 depression, D600 in Table 5. Data have also been reported in Glashouwer & de Jong 2009"	Yes	Search
"Luehring-Jones, P., Dennis-Tiwary, T. A., Murphy, J. G., Dennhardt, A., Lindgren, K. P., Yarmush, D. E., & Erblich, J. (2016). Favorable associations with alcohol and impaired self-regulation: A behavioral economic analysis. Drug and Alcohol Dependence, 163, 172–178."	1	1	IAT	IC	36	0.89		2	No				Midpoint between range given (.87 to .91)	No	Search
"Venta, A., Jardin, C., Kalpakci, A., & Sharp, C. (2016). The development and preliminary psychometric evaluation of an attachment implicit association task. Bulletin of the Menninger Clinic, 80, 255–280."	1	1	IAT	IC	104	0.5	0.33	2					self	Yes	Search
"Venta, A., Jardin, C., Kalpakci, A., & Sharp, C. (2016). The development and preliminary psychometric evaluation of an attachment implicit association task. Bulletin of the Menninger Clinic, 80, 255–280."	1	1	IAT	IC	104	0.43	0.27	2					mother	Yes	Search
"Venta, A., Jardin, C., Kalpakci, A., & Sharp, C. (2016). The development and preliminary psychometric evaluation of an attachment implicit association task. Bulletin of the Menninger Clinic, 80, 255–280."	1	1	IAT	IC	104	0.45	0.29	2					father	Yes	Search
"Mosca, O., Dentale, F., Lauriola, M., & Leone, L. (2016). Applying the implicit association test to measure intolerance of uncertainty. Psychological Reports, 119, 55–70."	1	1	IAT	IC	64	0.82	0.7	2						Yes	Search
"Weck, F., & Höfling, V. (2015). Assessment of implicit health attitudes: A multitrait-multimethod approach and a comparison between patients with hypochondriasis and patients with anxiety disorders. Journal of Personality Assessment, 97, 55–65."	1	1	IAT	IC	129	0.8		2					IAT-Anxiety	Yes	Search
"Weck, F., & Höfling, V. (2015). Assessment of implicit health attitudes: A multitrait-multimethod approach and a comparison between patients with hypochondriasis and patients with anxiety disorders. Journal of Personality Assessment, 97, 55–65."	1	1	IAT	IC	129	0.8		2					IAT-Hypochondriasis	Yes	Search
"Fleischhauer, M., Strobel, A., & Strobel, A. (2015). Directly and indirectly assessed need for cognition differentially predict spontaneous and reflective information processing behavior. Journal of Individual Differences, 36, 101–109."	1	1	IAT	IC	105	0.93		2					T2	Yes	Search
"Fleischhauer, M., Strobel, A., & Strobel, A. (2015). Directly and indirectly assessed need for cognition differentially predict spontaneous and reflective information processing behavior. Journal of Individual Differences, 36, 101–109."	1	1	IAT	IC	108	0.91		2					T3	Yes	Search
"Fleischhauer, M., Strobel, A., & Strobel, A. (2015). Directly and indirectly assessed need for cognition differentially predict spontaneous and reflective information processing behavior. Journal of Individual Differences, 36, 101–109."	1	1	IAT	IC	106.5	0.92		2						Yes	Search
"Fleischhauer, M., Strobel, A., & Strobel, A. (2015). Directly and indirectly assessed need for cognition differentially predict spontaneous and reflective information processing behavior. Journal of Individual Differences, 36, 101–109."	1	1	IAT	TRR	105	0.65				4-6 weeks				Yes	Search
"Curci, A., Lanciano, T., Maddalena, C., Mastandrea, S., & Sartori, G. (2015). Flashbulb memories of the Pope’s resignation: Explicit and implicit measures across differing religious groups. Memory, 23, 529–544."	1	1	IAT	IC	61	0.82	0.7	2						Yes	Search
"Wong, J., Morrison, A. S., Heimberg, R. G., Goldin, P. R., & Gross, J. J. (2014). Implicit associations in social anxiety disorder: The effects of comorbid depression. Journal of Anxiety Disorders, 28, 537–546."	1	1	IAT	IC	136	0.94		2	No				anxiety/calmness	Yes	Search
"Wong, J., Morrison, A. S., Heimberg, R. G., Goldin, P. R., & Gross, J. J. (2014). Implicit associations in social anxiety disorder: The effects of comorbid depression. Journal of Anxiety Disorders, 28, 537–546."	1	1	IAT	IC	136	0.95		2	No				acceptance/rejection	Yes	Search
"Fujii, T., Sawaumi, T., & Aikawa, A. (2013). Test-retest reliability and criterion-related validity of the implicit association test for measuring shyness. IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences, E96-A, 1768–1774."	1	1	IAT	TRR	59	0.43				1 week			Shyness	Yes	Search
